plant_id,name,country,capacity_mw,energy_source,energy_group,technology,status,commissioned,shutdown,is_shutdown,temporal_start,temporal_end,temporal_end_source,temporal_basis,company,city,state,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,original_source,source_dataset,source_url,lon,lat
OPSD_EU_02164,BNA1286,DE,12.1,Waste,Waste,Steam turbine,,2007,,False,2007-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Zweckverband für Abfallwirtschaft Südwestthüringen (ZASt),Zella-Mehlis,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,10.68695146,50.63879437
OPSD_EU_02165,BNA1289,DE,12.61,Waste,Waste,Steam turbine,,1981,,False,1981-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,Iserlohn,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.696739999999999,51.3971
OPSD_EU_02166,BNA1291,DE,12.5,Waste,Waste,Steam turbine,,2008,,False,2008-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",IHKW Industrieheizkraftwerk Andernach GmbH,Andernach,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.4321100000000015,50.43486
OPSD_EU_02167,BNA1295,DE,10.0,Waste,Waste,Steam turbine,,1994,,False,1994-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",AVA Abfallverwertung Augsburg GmbH,Augsburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,10.9356,48.40113
OPSD_EU_02168,BNA1316,DE,30.0,Waste,Waste,Steam turbine,,1976,,False,1976-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EKOCity GmbH,Wuppertal,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.1422300000000005,51.22515
OPSD_EU_02169,BNA1330,DE,17.0,Waste,Waste,Steam turbine,,2010,,False,2010-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Steinbeis Energie GmbH,Glückstadt,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.42577,53.78181
OPSD_EU_02170,BNA1448,DE,11.6,Waste,Waste,Steam turbine,,1977,,False,1977-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EEW Energy from Waste Saarbrücken GmbH,Neunkirchen,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,7.17001,49.33857
OPSD_EU_02171,BNA1449a,DE,8.7,Waste,Waste,Steam turbine,,1984,,False,1984-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Zweckverband Abfallwirtschaft Raum Würzburg,Würzburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.99406,49.793
OPSD_EU_02172,BNA1449b,DE,12.0,Waste,Waste,Steam turbine,,1998,,False,1998-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Zweckverband Abfallwirtschaft Raum Würzburg,Würzburg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,9.99406,49.793
OPSD_EU_02173,BNA1490,DE,33.4,Waste,Waste,Steam turbine,,2009,,False,2009-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",EBS - Kraftwerk GmbH,Hürth,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.850175,50.8577189
OPSD_EU_02174,BNA1510,DE,18.7,Waste,Waste,Steam turbine,,2013,,False,2013-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",Spreestromerzeugungs GmbH,Spremberg,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,14.337383,51.520132
OPSD_EU_02175,BNA1520,DE,10.5,Waste,Waste,Steam turbine,,2014,,False,2014-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",ESWE BioEnergie GmbH,Wiesbaden,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,8.261157,50.042129
OPSD_EU_02176,BNA1867,DE,18.0,Waste,Waste,Steam turbine,,2017,,False,2017-01-01,2100-01-01,default open-ended value,"temporal_start from OPSD commissioned year; temporal_end from OPSD shutdown year when present, approximated as YYYY-12-31; otherwise set to 2100-01-01",AVG Köln mbH,Köln,,,Other or unspecified energy sources,Waste,,BNetzA/UBA,Open Power System Data - Conventional power plants - EU CSV - 2020-10-01,https://data.open-power-system-data.org/conventional_power_plants/2020-10-01/conventional_power_plants_EU.csv,6.9409589999999985,50.99962
